p_bucket,rows,matches,avg_pred,actual,abs_error
"(-0.001, 0.1]",2311,36,0.035247993915205326,0.05106014712245781,0.01581215320725248
"(0.1, 0.2]",980,45,0.14564787771559512,0.20204081632653062,0.0563929386109355
"(0.2, 0.3]",665,44,0.2488517344718818,0.3218045112781955,0.07295277680631368
"(0.3, 0.4]",679,53,0.35347974403380955,0.4653902798232695,0.11191053578945998
"(0.4, 0.5]",690,59,0.4513156842328846,0.508695652173913,0.0573799679410284
"(0.5, 0.6]",1041,77,0.5568388702955288,0.5446685878962536,0.0121702823992752
"(0.6, 0.7]",1572,78,0.6507473690072939,0.5826972010178118,0.06805016798948216
"(0.7, 0.8]",1184,77,0.7453478453948197,0.6114864864864865,0.13386135890833317
"(0.8, 0.9]",1385,51,0.854007279259486,0.8462093862815885,0.007797892977897569
"(0.9, 1.0]",3932,55,0.97089698974194,0.9829603255340793,0.012063335792139251
