match_id,market_id,condition_id,market_name,market_type,label_market_bucket,current_game_number,series_type,side,token_id,opposing_token_id,received_at_utc,received_at_ns,game_time_sec,book_received_at_utc,book_received_at_ns,book_age_ms,book_best_bid,book_best_ask,book_bid_size,book_ask_size,book_mid,book_spread,settled_win,radiant_win,side_is_radiant,yes_is_radiant,hold_to_settlement_pnl_per_share,hold_to_settlement_roi,radiant_lead,radiant_score,dire_score,radiant_net_worth,dire_net_worth,net_worth_diff,yes_team,no_team,steam_radiant_team,steam_dire_team,steam_side_mapping,outcome_source,market_source_file,dataset_version,lobby_id,league_id,server_steam_id,building_state,tower_state,roshan_respawn_timer,stream_delay_s,source_update_age_sec,data_source,spectators,game_over,series_id,radiant_team,dire_team,radiant_team_id,dire_team_id,schema_version,source_file,series_type_market,yes_token_id,no_token_id,confidence,yes_won,no_won,asset_id,book_schema_version,book_source_file,nw_lead_clean,abs_nw_lead,score_diff,abs_score_diff,total_kills,nw_leader,kill_leader,leaders_agree,towers_alive_radiant,towers_alive_dire,tower_advantage,radiant_building_lane_0_state,radiant_building_lane_1_state,radiant_building_lane_2_state,radiant_rax_lanes_down,dire_building_lane_0_state,dire_building_lane_1_state,dire_building_lane_2_state,dire_rax_lanes_down,rax_lane_advantage,nw_change_100s,nw_change_300s,kills_change_100s,buy_all_pnl,model_p_radiant,model_fair,model_edge_to_ask,strategy,filter,pnl_per_share,roi
8825993964,,,Dota 2: Team Falcons vs GLYPH (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,16290082868340425576704914911538876760751254593903297839878022823151971874565,98855062429487547496325609727885041281247543035813933331393016389076492928884,2026-05-26T08:56:02.324+00:00,1779785761247827200,2193.0,2026-05-26T08:56:00.928+00:00,1.779785760928e+18,319.8272,0.21,0.22,3341.11,79.0,0.215,0.010000000000000009,False,False,True,True,-0.22,-1.0,,9,9,,,,Team Falcons,GLYPH,Team Falcons,GLYPH,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854787984792557,19101,,,,,,0.0,,,,,Team Falcons,GLYPH,9247354,10081680,v1.0,backfill,,16290082868340425576704914911538876760751254593903297839878022823151971874565,98855062429487547496325609727885041281247543035813933331393016389076492928884,1.0,False,True,16290082868340425576704914911538876760751254593903297839878022823151971874565,v1.0,backfill,,,0,0,18,tied,tied,True,,,,,,,,,,,,,,,,-0.22,0.2984846054507656,0.2984846054507656,0.0784846054507656,model_edge_0.02,fresh_60s,-0.22,-1.0
8825996999,,,Dota 2: PARIVISION vs OG (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,97804566911305907300566651449777108520466994372903791124083465272525405286607,67301628084023873601702813466895743995576795653464649055477981834828517685877,2026-05-26T08:56:02.424+00:00,1779785761247827200,2105.0,2026-05-26T08:55:34.575+00:00,1.779785734575e+18,26672.827136,,0.01,,58904.71,,,False,True,False,True,-0.01,-1.0,,8,16,,,,PARIVISION,OG,PARIVISION,OG,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854787991699018,19101,,,,,,0.0,,,,,PARIVISION,OG,9824702,2586976,v1.0,backfill,,67301628084023873601702813466895743995576795653464649055477981834828517685877,97804566911305907300566651449777108520466994372903791124083465272525405286607,1.0,True,False,97804566911305907300566651449777108520466994372903791124083465272525405286607,v1.0,backfill,,,-8,8,24,tied,dire,False,,,,,,,,,,,,,,,,-0.01,0.2621197984364461,0.7378802015635539,0.7278802015635539,model_edge_0.02,fresh_60s,-0.01,-1.0
8826042346,,,Dota 2: BetBoom Team vs ex-HEROIC (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,78958013740211912822494553471152292012445905010900882240730547069125426846506,16002472371359655147134260092705699352937311150881638467002757852100511557624,2026-05-26T09:37:59.722+00:00,1779788279722603264,1032.0,2026-05-26T09:37:50.406+00:00,1.7797882704059999e+18,9316.603392,0.83,0.84,3275.0,405.62,0.835,0.010000000000000009,True,False,False,True,0.16000000000000003,0.19047619047619052,-8681.0,4,11,,,-8681.0,BetBoom Team,ex-HEROIC,BetBoom Team,ex-HEROIC,,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788032179686,19101,90286230460374026,4849809.0,4192183.0,,900.0,0.0,top_live,62.0,False,,,,,,v1.0,backfill,,16002472371359655147134260092705699352937311150881638467002757852100511557624,78958013740211912822494553471152292012445905010900882240730547069125426846506,1.0,False,True,78958013740211912822494553471152292012445905010900882240730547069125426846506,v1.0,backfill,-8681.0,8681.0,-7,7,15,dire,dire,True,9.0,10.0,-1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,,,,0.16000000000000003,0.06845757133675981,0.9315424286632402,0.09154242866324025,model_edge_0.02,fresh_60s,0.16000000000000003,0.19047619047619052
8826052816,,,Dota 2: Team Liquid vs Xtreme Gaming (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,60148714332634843096901835444963403431344737213216802279204109703764029528065,19223801408140351690995333153255518333468133392239746489170967681456806523915,2026-05-26T09:31:50.682+00:00,1779787910682462720,60.0,2026-05-26T09:31:50.064+00:00,1.779787910064e+18,618.46272,0.47,0.52,4947.34,120.42,0.495,0.050000000000000044,False,False,True,False,-0.52,-1.0,396.0,1,0,,,396.0,Team Liquid,Xtreme Gaming,Xtreme Gaming,Team Liquid,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788033612621,19101,90286228244661270,4784201.0,4194303.0,,900.0,10.682462692260742,top_live,31.0,False,,,,,,v1.0,backfill,,19223801408140351690995333153255518333468133392239746489170967681456806523915,60148714332634843096901835444963403431344737213216802279204109703764029528065,1.0,True,False,60148714332634843096901835444963403431344737213216802279204109703764029528065,v1.0,backfill,396.0,396.0,1,1,1,radiant,radiant,True,11.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,-0.52,0.6038076627413294,0.6038076627413294,0.08380766274132934,model_edge_0.02,fresh_60s,-0.52,-1.0
8826099852,,,Dota 2: Tundra Esports vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,24079791571676801659682689786951413055867716462329505627331643069282585547157,106757429586285815079769433531316954710479480047585001427598589989177708540107,2026-05-26T10:30:18.688+00:00,1779791418688147456,-6.0,2026-05-26T10:30:11.228+00:00,1.779791411228e+18,7460.147456,0.53,0.54,113.34,2083.76,0.535,0.010000000000000009,True,True,True,False,0.45999999999999996,0.8518518518518517,0.0,0,0,,,0.0,Tundra Esports,Aurora,Aurora Gaming,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788068205886,19101,90286232005934102,19138340.0,3745572.0,,900.0,18.68814754486084,top_live,45.0,False,,,,,,v1.0,backfill,,106757429586285815079769433531316954710479480047585001427598589989177708540107,24079791571676801659682689786951413055867716462329505627331643069282585547157,1.0,False,True,24079791571676801659682689786951413055867716462329505627331643069282585547157,v1.0,backfill,0.0,0.0,0,0,0,tied,tied,True,5.0,5.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,,,,0.45999999999999996,0.5912034416373696,0.5912034416373696,0.05120344163736956,model_edge_0.02,fresh_60s,0.45999999999999996,0.8518518518518517
8826110206,,,Dota 2: Team Spirit vs Team Yandex (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,YES,61898048766300539207144252096568571752873123869347775462223351981847097805718,31845245749285637409541614747824705305729904671688525802437829597333631327920,2026-05-26T11:11:52.445+00:00,1779793911521876736,1683.0,2026-05-26T11:11:36.959+00:00,1.779793896959e+18,14562.876672,0.04,0.05,37.63,208.06,0.045,0.010000000000000002,False,True,False,False,-0.05,-1.0,22235.0,6,3,22235.0,0.0,22235.0,Team Spirit,Team Yandex,Team Yandex,Team Spirit,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788069780745,19101,,,1983.0,,,0.0,,,,,Team Yandex,Team Spirit,9823272,7119388,v1.0,backfill,,61898048766300539207144252096568571752873123869347775462223351981847097805718,31845245749285637409541614747824705305729904671688525802437829597333631327920,1.0,False,True,61898048766300539207144252096568571752873123869347775462223351981847097805718,v1.0,backfill,22235.0,22235.0,3,3,9,radiant,radiant,True,10.0,0.0,10.0,,,,,,,,,,,,,-0.05,0.9193478344836133,0.08065216551638665,0.03065216551638665,model_edge_0.02,fresh_60s,-0.05,-1.0
8826168772,,,Dota 2: Team Falcons vs OG (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,64665524733500634285979437046772798018104625249009011807071322014697761544143,1384276122774117048373774917451073863014802282257446306706991733464243750399,2026-05-26T11:43:34.083+00:00,1779795814083138304,-55.0,2026-05-26T11:43:32.189+00:00,1.779795812189e+18,1894.138368,0.35,0.37,546.1,86.48,0.36,0.020000000000000018,False,True,False,True,-0.37,-1.0,0.0,0,0,,,0.0,Team Falcons,OG,Team Falcons,OG,normal,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788112273001,19101,90286232983523337,4784201.0,4194303.0,,900.0,14.083138465881348,top_live,37.0,False,,,,,,v1.0,backfill,,1384276122774117048373774917451073863014802282257446306706991733464243750399,64665524733500634285979437046772798018104625249009011807071322014697761544143,1.0,True,False,64665524733500634285979437046772798018104625249009011807071322014697761544143,v1.0,backfill,0.0,0.0,0,0,0,tied,tied,True,11.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,-0.37,0.5906576376650323,0.4093423623349677,0.039342362334967684,model_edge_0.02,fresh_60s,-0.37,-1.0
8826268112,,,Dota 2: BetBoom Team vs Aurora (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,87158254493804035070270325460456006385275324556334003871043746298430888405538,29884007802973720781244723611008049047881295223314256531920959986578894536390,2026-05-26T13:06:03.171+00:00,1779800763171065088,43.0,2026-05-26T13:05:56.146+00:00,1.779800756146e+18,7025.065216,0.54,0.55,4391.12,2999.99,0.545,0.010000000000000009,False,False,True,False,-0.55,-1.0,0.0,0,0,,,0.0,BetBoom Team,Aurora,Aurora Gaming,BB,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788170259672,19101,90286237910159362,4784201.0,4194303.0,,900.0,63.17106509208679,top_live,17.0,False,,,,,,v1.0,backfill,,29884007802973720781244723611008049047881295223314256531920959986578894536390,87158254493804035070270325460456006385275324556334003871043746298430888405538,1.0,True,False,87158254493804035070270325460456006385275324556334003871043746298430888405538,v1.0,backfill,0.0,0.0,0,0,0,tied,tied,True,11.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,-0.55,0.7062276480981386,0.7062276480981386,0.1562276480981386,model_edge_0.02,fresh_60s,-0.55,-1.0
8826341985,,,Dota 2: Tundra Esports vs Team Spirit (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,37884471047796888606535906870917736216100387210731544012383806850150197008584,110194778291685752199679912248286758779098964058491033080411480338405844483112,2026-05-26T13:58:53.960+00:00,1779803931595182592,-16.0,2026-05-26T13:58:39.234+00:00,1.779803919234e+18,12361.18272,0.56,0.57,9060.0,98.24,0.565,0.009999999999999898,True,True,True,False,0.43000000000000005,0.7543859649122808,0.0,0,0,0.0,0.0,0.0,Tundra Esports,Team Spirit,Team Spirit,Tundra Esports,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788212255385,19101,,,1828.0,,,0.0,,,,,Team Spirit,Tundra Esports,7119388,10150413,v1.0,backfill,,110194778291685752199679912248286758779098964058491033080411480338405844483112,37884471047796888606535906870917736216100387210731544012383806850150197008584,1.0,False,True,37884471047796888606535906870917736216100387210731544012383806850150197008584,v1.0,backfill,0.0,0.0,0,0,0,tied,tied,True,5.0,0.0,5.0,,,,,,,,,,,,,0.43000000000000005,0.7330532362944141,0.7330532362944141,0.16305323629441415,model_edge_0.02,fresh_60s,0.43000000000000005,0.7543859649122808
8826347921,,,Dota 2: Team Liquid vs Team Yandex (BO1) - BLAST Slam Group Stage,MATCH_WINNER,MATCH_WINNER_BO1,,,NO,71561016792382290782863982737239952010244996413668435735269793102705273107848,83719396851279461976590683957452617066433773963810098055010329649741441258449,2026-05-26T14:02:53.207+00:00,1779804171278242816,-35.0,2026-05-26T14:02:48.016+00:00,1.779804168016e+18,3262.242816,0.58,0.59,14838.61,5464.01,0.585,0.010000000000000009,True,True,True,False,0.41000000000000003,0.6949152542372882,0.0,0,0,0.0,0.0,0.0,Team Liquid,Team Yandex,Team Yandex,Team Liquid,reversed,logs/opendota_outcomes.json,data_v2/markets.yaml,clean_executable_backtest_v2_game3_proxy,29854788222895053,19101,,,2047.0,,,0.0,,,,,Team Yandex,Team Liquid,9823272,2163,v1.0,backfill,,83719396851279461976590683957452617066433773963810098055010329649741441258449,71561016792382290782863982737239952010244996413668435735269793102705273107848,1.0,False,True,71561016792382290782863982737239952010244996413668435735269793102705273107848,v1.0,backfill,0.0,0.0,0,0,0,tied,tied,True,11.0,0.0,11.0,,,,,,,,,,,,,0.41000000000000003,0.7548125160764855,0.7548125160764855,0.1648125160764855,model_edge_0.02,fresh_60s,0.41000000000000003,0.6949152542372882
