model_name,score_kind,ask_filter,threshold,lockbox_matches,raw_signal_rows,trades,wins,win_rate,avg_ask,pnl,pnl_1c,pnl_2c
winprob_hgb,win_prob,ask_25_55,0.1,24,954,14,10,0.7142857142857143,0.43142857142857144,3.960000000000001,3.8200000000000003,3.6799999999999997
winprob_hgb,win_prob,ask_20_50,0.06,24,1074,15,10,0.6666666666666666,0.4053333333333333,3.92,3.7700000000000005,3.62
winprob_hgb,win_prob,ask_20_50,0.1,24,987,13,9,0.6923076923076923,0.4007692307692308,3.790000000000001,3.66,3.5300000000000002
winprob_hgb,win_prob,ask_25_55,0.08,24,1019,15,10,0.6666666666666666,0.426,3.6099999999999994,3.46,3.31
winprob_hgb,win_prob,ask_15_70,0.08,24,1408,19,12,0.631578947368421,0.4452631578947368,3.54,3.3499999999999996,3.1599999999999997
winprob_hgb,win_prob,ask_20_50,0.08,24,1041,14,9,0.6428571428571429,0.4042857142857143,3.34,3.2,3.0600000000000005
winprob_hgb,win_prob,ask_20_60,0.08,24,1148,15,10,0.6666666666666666,0.444,3.34,3.1899999999999995,3.0399999999999996
value_hgb,value_class,ask_20_50,0.6,24,793,9,7,0.7777777777777778,0.4244444444444444,3.18,3.09,3.0
winprob_hgb,win_prob,ask_25_55,0.06,24,1073,16,10,0.625,0.41937500000000005,3.2899999999999996,3.1299999999999994,2.9699999999999993
winprob_hgb,win_prob,ask_15_70,0.1,24,1279,19,12,0.631578947368421,0.458421052631579,3.2899999999999996,3.0999999999999996,2.9099999999999993
winprob_hgb,win_prob,ask_20_60,0.1,24,1058,15,10,0.6666666666666666,0.4526666666666667,3.209999999999999,3.0600000000000005,2.909999999999999
value_hgb,value_class,ask_20_50,0.62,24,764,9,7,0.7777777777777778,0.43777777777777777,3.06,2.9699999999999998,2.88
value_hgb,value_class,ask_20_50,0.65,24,717,9,7,0.7777777777777778,0.4422222222222222,3.0200000000000005,2.9300000000000006,2.8400000000000003
winprob_hgb,win_prob,ask_20_60,0.06,24,1209,16,10,0.625,0.43625,3.02,2.86,2.6999999999999997
winprob_logistic,win_prob,ask_25_55,0.02,24,302,11,8,0.7272727272727273,0.46181818181818185,2.92,2.81,2.6999999999999993
value_hgb,value_class,ask_25_55,0.62,24,802,11,8,0.7272727272727273,0.47,2.83,2.7199999999999998,2.6099999999999994
value_hgb,value_class,ask_25_55,0.65,24,734,11,8,0.7272727272727273,0.47181818181818175,2.81,2.7,2.59
winprob_hgb,win_prob,ask_20_50,0.04,24,1114,15,9,0.6,0.40866666666666673,2.87,2.7200000000000006,2.5699999999999994
winprob_logistic,win_prob,ask_25_55,0.04,24,182,7,6,0.8571428571428571,0.48571428571428577,2.5999999999999996,2.53,2.46
value_hgb,value_class,ask_20_50,0.55,24,881,13,8,0.6153846153846154,0.40923076923076923,2.6799999999999997,2.5500000000000007,2.42
value_hgb,value_class,ask_20_60,0.6,24,952,13,9,0.6923076923076923,0.49461538461538457,2.5700000000000003,2.44,2.3099999999999996
winprob_logistic,win_prob,ask_20_50,0.02,24,204,10,7,0.7,0.45099999999999996,2.49,2.3899999999999997,2.29
value_hgb,value_class,ask_20_60,0.62,24,899,13,9,0.6923076923076923,0.5007692307692307,2.49,2.36,2.2300000000000004
winprob_logistic,win_prob,ask_20_50,0.04,24,154,4,4,1.0,0.4275,2.29,2.25,2.21
winprob_hgb,win_prob,ask_15_70,0.06,24,1507,19,11,0.5789473684210527,0.4431578947368421,2.58,2.3899999999999997,2.1999999999999997
value_hgb,value_class,ask_20_60,0.65,24,814,13,9,0.6923076923076923,0.5053846153846154,2.4300000000000006,2.3,2.1700000000000004
value_hgb,value_class,ask_25_55,0.6,24,844,12,8,0.6666666666666666,0.4675,2.3899999999999997,2.2699999999999996,2.1499999999999995
value_logistic,value_class,ask_20_50,0.55,24,87,6,5,0.8333333333333334,0.4583333333333333,2.25,2.19,2.13
winprob_logistic,win_prob,ask_25_55,0.06,24,160,4,4,1.0,0.4525,2.19,2.15,2.11
winprob_logistic,win_prob,ask_20_60,0.04,24,268,9,7,0.7777777777777778,0.5255555555555556,2.27,2.1799999999999997,2.09
value_hgb,value_class,ask_20_50,0.58,24,826,11,7,0.6363636363636364,0.4263636363636364,2.3099999999999996,2.2,2.0899999999999994
winprob_logistic,win_prob,ask_20_50,0.0,24,364,11,7,0.6363636363636364,0.4309090909090909,2.26,2.15,2.04
winprob_hgb,win_prob,ask_20_50,0.02,24,1167,16,9,0.5625,0.416875,2.33,2.17,2.01
winprob_hgb,win_prob,ask_25_55,0.04,24,1129,16,9,0.5625,0.4225,2.2399999999999998,2.0799999999999996,1.9199999999999995
value_hgb,value_class,ask_20_50,0.5,24,987,16,9,0.5625,0.42312500000000003,2.2299999999999995,2.0699999999999994,1.9099999999999995
winprob_hgb,win_prob,ask_25_55,0.02,24,1208,16,9,0.5625,0.424375,2.21,2.05,1.8899999999999995
value_hgb,value_class,ask_20_50,0.52,24,943,16,9,0.5625,0.42562500000000003,2.1899999999999995,2.0299999999999994,1.8699999999999994
value_hgb,value_class,ask_25_55,0.5,24,1159,16,9,0.5625,0.43,2.1199999999999997,1.9599999999999995,1.7999999999999994
winprob_logistic,win_prob,ask_20_50,0.06,24,147,3,3,1.0,0.4166666666666667,1.75,1.72,1.69
value_logistic,value_class,ask_20_50,0.58,24,61,3,3,1.0,0.4166666666666667,1.75,1.72,1.69
value_logistic,value_class,ask_20_50,0.48,24,322,11,7,0.6363636363636364,0.4636363636363636,1.9000000000000001,1.79,1.68
winprob_hgb,win_prob,ask_20_60,0.02,24,1360,16,9,0.5625,0.43875000000000003,1.98,1.8199999999999998,1.6599999999999997
winprob_hgb,win_prob,ask_20_60,0.04,24,1274,16,9,0.5625,0.43875000000000003,1.98,1.8199999999999998,1.6599999999999997
winprob_hgb,win_prob,ask_20_60,0.0,24,1437,16,9,0.5625,0.439375,1.9699999999999998,1.8099999999999996,1.6499999999999995
winprob_hgb,win_prob,ask_20_60,-0.02,24,1526,16,9,0.5625,0.439375,1.9699999999999998,1.8099999999999996,1.6499999999999995
value_logistic,value_class,ask_20_50,0.5,24,236,11,7,0.6363636363636364,0.46727272727272723,1.86,1.75,1.64
value_logistic,value_class,ask_20_50,0.52,24,160,9,6,0.6666666666666666,0.4655555555555555,1.81,1.72,1.63
winprob_logistic,win_prob,ask_20_50,-0.02,24,638,12,7,0.5833333333333334,0.4291666666666667,1.8499999999999999,1.7299999999999998,1.6099999999999997
winprob_hgb,win_prob,ask_15_70,0.02,24,1694,19,10,0.5263157894736842,0.42684210526315786,1.8900000000000006,1.7000000000000002,1.5100000000000002
winprob_hgb,win_prob,ask_15_70,0.04,24,1593,19,10,0.5263157894736842,0.42684210526315786,1.8900000000000001,1.7,1.51
winprob_hgb,win_prob,ask_15_70,0.0,24,1784,19,10,0.5263157894736842,0.42736842105263156,1.8800000000000003,1.6900000000000002,1.5000000000000002
winprob_hgb,win_prob,ask_15_70,-0.02,24,1908,19,10,0.5263157894736842,0.42736842105263156,1.8800000000000003,1.6900000000000002,1.5000000000000002
value_logistic,value_class,ask_25_55,0.62,24,46,5,4,0.8,0.4800000000000001,1.5999999999999999,1.5499999999999998,1.4999999999999998
winprob_logistic,win_prob,ask_15_70,0.04,24,495,10,7,0.7,0.5660000000000001,1.3400000000000003,1.2399999999999998,1.1400000000000001
winprob_hgb,win_prob,ask_20_50,0.0,24,1212,16,8,0.5,0.40937500000000004,1.4499999999999997,1.2899999999999996,1.1299999999999994
value_logistic,value_class,ask_25_55,0.52,24,408,13,8,0.6153846153846154,0.5084615384615384,1.3899999999999997,1.2599999999999993,1.129999999999999
winprob_hgb,win_prob,ask_20_50,-0.02,24,1261,16,8,0.5,0.413125,1.3899999999999997,1.2299999999999995,1.0699999999999994
value_hgb,value_class,ask_25_55,0.55,24,1007,15,8,0.5333333333333333,0.44333333333333336,1.3499999999999996,1.1999999999999997,1.0499999999999996
winprob_hgb,win_prob,ask_25_55,0.0,24,1275,16,8,0.5,0.414375,1.3699999999999997,1.2099999999999995,1.0499999999999994
winprob_logistic,win_prob,ask_20_60,0.06,24,202,7,5,0.7142857142857143,0.547142857142857,1.1700000000000002,1.1,1.03
value_hgb,value_class,ask_15_70,0.65,24,1096,14,9,0.6428571428571429,0.5499999999999999,1.2999999999999998,1.1600000000000001,1.0199999999999996
winprob_hgb,win_prob,ask_25_55,-0.02,24,1344,16,8,0.5,0.41812499999999997,1.3099999999999996,1.1499999999999995,0.9899999999999994
