model_name,score_kind,ask_filter,threshold,folds,trades,wins,pnl,pnl_1c,pnl_2c,win_rate,avg_ask
value_logistic,value_class,ask_20_50,0.5,5,19,11,2.0300000000000002,1.8399999999999999,1.65,0.5789473684210527,0.4721052631578947
value_logistic,value_class,ask_20_50,0.6,2,7,5,1.65,1.58,1.5099999999999998,0.7142857142857143,0.4785714285714286
value_logistic,value_class,ask_25_55,0.62,2,7,5,1.4999999999999998,1.43,1.3599999999999999,0.7142857142857143,0.5
value_logistic,value_class,ask_20_50,0.52,4,16,9,1.4800000000000002,1.32,1.16,0.5625,0.47
value_hgb,value_class,ask_25_55,0.5,5,44,22,2.01,1.5699999999999994,1.129999999999999,0.5,0.45431818181818184
value_logistic,value_class,ask_25_55,0.6,4,10,6,1.02,0.9199999999999999,0.8199999999999998,0.6,0.49800000000000005
value_logistic,value_class,ask_20_60,0.6,5,23,14,1.2400000000000007,1.0100000000000002,0.7800000000000001,0.6086956521739131,0.5547826086956521
value_logistic,value_class,ask_20_50,0.62,1,5,3,0.67,0.62,0.57,0.6,0.466
value_logistic,value_class,ask_20_50,0.58,3,9,5,0.7300000000000002,0.6399999999999999,0.5499999999999998,0.5555555555555556,0.4744444444444444
value_logistic,value_class,ask_20_50,0.65,1,5,3,0.5700000000000001,0.52,0.47,0.6,0.48599999999999993
value_logistic,value_class,ask_25_55,0.65,2,7,4,0.3999999999999999,0.32999999999999985,0.2599999999999998,0.5714285714285714,0.5142857142857142
value_logistic,value_class,ask_25_55,0.48,5,30,16,0.7999999999999996,0.4999999999999993,0.199999999999999,0.5333333333333333,0.5066666666666667
value_logistic,value_class,ask_20_60,0.62,5,17,10,0.4300000000000004,0.26000000000000045,0.09000000000000008,0.5882352941176471,0.5629411764705883
value_logistic,value_class,ask_25_55,0.5,5,28,15,0.6199999999999994,0.3399999999999992,0.05999999999999894,0.5357142857142857,0.5135714285714286
value_logistic,value_class,ask_20_50,0.48,5,23,11,0.19000000000000017,-0.040000000000000036,-0.27000000000000024,0.4782608695652174,0.4699999999999999
value_logistic,value_class,ask_15_70,0.62,5,41,27,0.5399999999999996,0.12999999999999945,-0.28000000000000114,0.6585365853658537,0.6453658536585366
value_logistic,value_class,ask_25_55,0.52,5,27,14,0.16999999999999932,-0.10000000000000092,-0.3700000000000011,0.5185185185185185,0.5122222222222222
