stage,fold,model_name,model_version,training_cutoff_match_time,match_id,market_id,label_market_bucket,token_id,side,received_at_utc,received_at_ns,game_time_sec,league_id,settled_win,market_prob,calibrated_prob,book_best_ask,book_best_bid,book_spread,book_ask_size,edge,entry_threshold,paper_entry_price,pnl_per_share,pnl_slip_1c,pnl_slip_2c,side_nw,side_mom_100,side_mom_300,side_kill_mom,side_score,structure_score,side_transition_nw_delta,side_transition_score_delta,side_transition_kill_delta,score_nw_lag_type,transition_signal_type,reason
walk_forward,1,market_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:31:23.229+00:00,1780223483229134519,680.0,19699,True,0.58,0.6396911945124663,0.58,0.57,0.010000000000000009,158.5,0.059691194512466295,0.05,0.58,0.42000000000000004,0.41000000000000003,0.4,1821.0,2441.0,2264.0,6.0,0.0,0.0,1044.0,0.0,3.0,same_snapshot,confirmed_transition,market_anchor_edge
walk_forward,1,market_momentum_logistic__with_bucket,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:31:23.229+00:00,1780223483229134519,680.0,19699,True,0.58,0.6403474592744456,0.58,0.57,0.010000000000000009,158.5,0.060347459274445625,0.05,0.58,0.42000000000000004,0.41000000000000003,0.4,1821.0,2441.0,2264.0,6.0,0.0,0.0,1044.0,0.0,3.0,same_snapshot,confirmed_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,4964659991938832284730255183310900894622385671364193513223397332041854780346,NO,2026-05-30T17:50:07.512+00:00,1780163407512044518,846.0,19101,True,0.56,0.6261117101910663,0.56,0.54,0.020000000000000018,80.0,0.06611171019106621,0.02,0.56,0.43999999999999995,0.42999999999999994,0.41999999999999993,-1685.0,-452.0,77.0,16.0,-4.0,0.0,0.0,-4.0,6.0,score_only,confirmed_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,73399839580912218378591774206488912368784281538796408187880296103078741849035,YES,2026-05-30T17:47:48.538+00:00,1780163261017282882,696.0,19101,False,0.5,0.55670487208613,0.5,0.49,0.010000000000000009,40.0,0.056704872086129954,0.02,0.5,-0.5,-0.51,-0.52,1233.0,-523.0,200.0,10.0,-0.0,0.0,-523.0,-4.0,-7.0,score_only,no_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:30:10.415+00:00,1780223410415617063,607.0,19699,True,0.52,0.5462789489177751,0.52,0.5,0.020000000000000018,63.71,0.026278948917775047,0.02,0.52,0.48,0.47,0.45999999999999996,777.0,1397.0,451.0,5.0,-1.0,0.0,1397.0,-1.0,2.0,same_snapshot,confirmed_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,71058472416398922107320179562083294293700078028627260526821046831029580947031,YES,2026-05-31T10:34:14.533+00:00,1780223650790579963,838.0,19699,False,0.17,0.20253261492037086,0.17,0.16,0.010000000000000009,28.23,0.03253261492037085,0.02,0.17,-0.17,-0.18000000000000002,-0.19,-4176.0,-2393.0,-4796.0,6.0,-0.0,0.0,-0.0,3.0,-3.0,nw_then_score,no_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,33229960324716277893740450236892923297252292653424257252005499954737105666530,NO,2026-05-31T11:39:57.969+00:00,1780227596147398621,848.0,19699,True,0.79,0.8195222902005459,0.79,0.78,0.010000000000000009,55.0,0.029522290200545864,0.02,0.79,0.20999999999999996,0.19999999999999996,0.18999999999999995,4738.0,185.0,2076.0,10.0,-0.0,0.0,-0.0,2.0,-5.0,score_only,no_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,18668237301412372796198305592692740219807944817349786566421892732335552830280,YES,2026-05-31T11:36:12.389+00:00,1780227372389298065,652.0,19699,False,0.19,0.22578086524232738,0.19,0.18,0.010000000000000009,64.84,0.035780865242327375,0.02,0.19,-0.19,-0.2,-0.21,-2662.0,0.0,-2536.0,9.0,-1.0,1.0,0.0,-1.0,4.0,score_only,confirmed_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8833327581,2397078,MATCH_WINNER_GAME3_PROXY,5200208202788358977024120864716360533041240709693704380236601684681552181297,NO,2026-05-31T16:37:18.564+00:00,1780245438564931336,872.0,19699,False,0.06,0.09633747222869353,0.06,0.05,0.009999999999999995,64.96,0.03633747222869353,0.02,0.06,-0.06,-0.06999999999999999,-0.08,-6884.0,-2900.0,-3535.0,24.0,-10.0,-3.0,-1809.0,-10.0,7.0,same_snapshot,confirmed_transition,market_anchor_edge
walk_forward,1,market_kill_momentum_logistic,market_anchor_v1,2026-05-30T17:20:46.978+00:00,8833492242,2403734,MAP_WINNER,114748806522711322642193195763963446077941944027455536777969652840894397312076,YES,2026-05-31T18:37:59.878+00:00,1780252679878098269,1186.0,19699,False,0.13,0.1531538517844201,0.13,0.08,0.05,264.0,0.023153851784420088,0.02,0.13,-0.13,-0.14,-0.15,-4322.0,-819.0,-3774.0,16.0,-3.0,-1.0,0.0,-2.0,6.0,score_only,confirmed_transition,market_anchor_edge
