stage,fold,model_name,model_version,training_cutoff_match_time,match_id,market_id,label_market_bucket,token_id,side,received_at_utc,received_at_ns,game_time_sec,league_id,settled_win,fair_prob,calibrated_prob,book_best_ask,book_best_bid,book_spread,book_ask_size,edge,entry_threshold,paper_entry_price,pnl_per_share,pnl_slip_1c,pnl_slip_2c,side_nw,side_score,side_tower,side_rax,side_mom_100,reason
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,73399839580912218378591774206488912368784281538796408187880296103078741849035,YES,2026-05-30T17:47:48.538+00:00,1780163261017282882,696.0,19101,False,0.5766362093823234,0.8135048231511254,0.5,0.49,0.010000000000000009,40.0,0.3135048231511254,0.08,0.5,-0.5,-0.51,-0.52,1233.0,-0.0,,,-523.0,model_edge
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8831978733,2393079,MATCH_WINNER_GAME3_PROXY,85976490874755739801853190251121345219802188737386173543415080458865642846612,NO,2026-05-30T18:54:53.118+00:00,1780167293118403433,3077.0,19699,False,0.97058247035918,1.0,0.9,0.01,0.89,100.0,0.09999999999999998,0.08,0.9,-0.9,-0.91,-0.92,6492.0,33.0,2.0,2.0,4598.0,model_edge
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:30:10.415+00:00,1780223410415617063,607.0,19699,True,0.5574271973352974,0.8135048231511254,0.52,0.5,0.020000000000000018,63.71,0.29350482315112536,0.08,0.52,0.48,0.47,0.45999999999999996,777.0,-1.0,0.0,0.0,1397.0,model_edge
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,33229960324716277893740450236892923297252292653424257252005499954737105666530,NO,2026-05-31T11:39:57.969+00:00,1780227596147398621,848.0,19699,True,0.6674212702380332,0.8778625954198473,0.79,0.78,0.010000000000000009,55.0,0.08786259541984731,0.08,0.79,0.20999999999999996,0.19999999999999996,0.18999999999999995,4738.0,-0.0,,,185.0,model_edge
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833327581,2397078,MATCH_WINNER_GAME3_PROXY,5200208202788358977024120864716360533041240709693704380236601684681552181297,NO,2026-05-31T16:33:02.140+00:00,1780245182140178951,616.0,19699,False,0.45182042110523957,0.1875,0.1,0.05,0.05,80.0,0.0875,0.08,0.1,-0.1,-0.11,-0.12000000000000001,-3349.0,-4.0,-1.0,0.0,-263.0,model_edge
walk_forward,1,logistic_fair_state,state_only_v1,2026-05-30T17:20:46.978+00:00,8833492242,2403734,MAP_WINNER,96268178216805690770704912445355569211511950448338971380774460570621156733450,NO,2026-05-31T18:29:24.522+00:00,1780252158843316651,649.0,19699,True,0.5355364235459341,0.8135048231511254,0.64,0.59,0.050000000000000044,160.94,0.17350482315112536,0.08,0.64,0.36,0.35,0.33999999999999997,699.0,-0.0,,,265.0,model_edge
walk_forward,1,logistic_residual_trade,market_aware_residual_v1,2026-05-30T17:20:46.978+00:00,8831927547,2394733,MAP_WINNER,73399839580912218378591774206488912368784281538796408187880296103078741849035,YES,2026-05-30T17:47:48.538+00:00,1780163261017282882,696.0,19101,False,0.8135048231511254,0.8135048231511254,0.5,0.49,0.010000000000000009,40.0,0.165771284984907,0.5,0.5,-0.5,-0.51,-0.52,1233.0,-0.0,,,-523.0,residual_trade_prob
walk_forward,1,logistic_residual_trade,market_aware_residual_v1,2026-05-30T17:20:46.978+00:00,8831978733,2393079,MATCH_WINNER_GAME3_PROXY,85976490874755739801853190251121345219802188737386173543415080458865642846612,NO,2026-05-30T18:44:35.003+00:00,1780166667312740567,2387.0,19699,False,0.9083969465648855,0.9083969465648855,0.9,0.01,0.89,100.0,0.22404299726310284,0.5,0.9,-0.9,-0.91,-0.92,2947.0,25.0,,,,residual_trade_prob
walk_forward,1,logistic_residual_trade,market_aware_residual_v1,2026-05-30T17:20:46.978+00:00,8832812084,2397039,MAP_WINNER,20380816283251066496170105697689866054031098252950157222666741674972023662615,NO,2026-05-31T10:30:10.415+00:00,1780223410415617063,607.0,19699,True,0.8135048231511254,0.8135048231511254,0.52,0.5,0.020000000000000018,63.71,0.18381801478012005,0.5,0.52,0.48,0.47,0.45999999999999996,777.0,-1.0,0.0,0.0,1397.0,residual_trade_prob
walk_forward,1,logistic_residual_trade,market_aware_residual_v1,2026-05-30T17:20:46.978+00:00,8832889451,2397040,MAP_WINNER,33229960324716277893740450236892923297252292653424257252005499954737105666530,NO,2026-05-31T11:36:12.389+00:00,1780227372389298065,652.0,19699,True,0.8135048231511254,0.8135048231511254,0.82,0.81,0.009999999999999898,80.5,0.40967405698603165,0.5,0.82,0.18000000000000005,0.17000000000000004,0.16000000000000003,2662.0,1.0,-1.0,-0.0,-0.0,residual_trade_prob
